iso639_3,lang,wikidataurl
bul,Bulgarian,http://www.wikidata.org/entity/Q7918
ces,Czech,http://www.wikidata.org/entity/Q9056
dan,Danish,http://www.wikidata.org/entity/Q9035
deu,German,http://www.wikidata.org/entity/Q188
ell,Greek,http://www.wikidata.org/entity/Q9129
eng,English,http://www.wikidata.org/entity/Q1860
est,Estonian,http://www.wikidata.org/entity/Q9072
fin,Finnish,http://www.wikidata.org/entity/Q1412
fra,French,http://www.wikidata.org/entity/Q150
gle,Irish,http://www.wikidata.org/entity/Q9142
hrv,Croatian,http://www.wikidata.org/entity/Q6654
hun,Hungarian,http://www.wikidata.org/entity/Q9067
ita,Italian,http://www.wikidata.org/entity/Q652
lav,Latvian,http://www.wikidata.org/entity/Q9078
lit,Lithuanian,http://www.wikidata.org/entity/Q9083
mlt,Maltese,http://www.wikidata.org/entity/Q9166
nld,Dutch,http://www.wikidata.org/entity/Q7411
pol,Polish,http://www.wikidata.org/entity/Q809
por,Portuguese,http://www.wikidata.org/entity/Q5146
ron,Romanian,http://www.wikidata.org/entity/Q7913
slk,Slovak,http://www.wikidata.org/entity/Q9058
slv,Slovene,http://www.wikidata.org/entity/Q9063
spa,Spanish,http://www.wikidata.org/entity/Q1321
swe,Swedish,http://www.wikidata.org/entity/Q9027
