#Arabic -- macro ara -- see Modern Standard Arabic and many others
#Lahnda -- macro lah --  see Western Punjabi and many others
#Persian -- macro fas, see also Iranian Persian, Dari, Tajik.
#Malay --macro  msa -- 34 languages -- none on this top ylist
#Pushto -- pus -- see also Southern, Northern, and Central Pashto
#Chinese zho -- chinese mandarin is cmn -- maybe note that it is not Yue or Wu or Min Nan Chiense.
#
eng	English	1.515 billion
cmn	Mandarin Chinese	1.140 billion
hin	Hindi	609 million
spa	Spanish	560 million
arb	Modern Standard Arabic	332 million
fra	French	312 million
ben	Bengali	278 million
por	Portuguese	264 million
rus	Russian	255 million
urd	Urdu	238 million
ind	Indonesian	199 million
deu	Standard German	134 million
jpn	Japanese	123 million
pcm	Nigerian Pidgin	121 million
arz	Egyptian Arabic	103 million
mar	Marathi	99 million
tel	Telugu	96 million
tur	Turkish	90 million
hau	Hausa	88 million
tam	Tamil	87 million
yue	Yue Chinese	87 million
swh	Swahili	87 million
vie	Vietnamese	86 million
wuu	Wu Chinese	83 million
tgl	Tagalog	83 million
pnb	Western Punjabi	82 million
kor	Korean	81 million
pes	Iranian Persian	78 million
jav	Javanese	68 million
ita	Italian	67 million
guj	Gujarati	63 million
tha	Thai	61 million
amh	Amharic	60 million
kan	Kannada	59 million
apc	Levantine Arabic	54 million
bho	Bhojpuri	53 million
nan	Min Nan Chinese	51 million
