en	eng	English		
ceb	ceb	Cebuano		
de	deu	German		Deutsch
fr	fra	French		français
sv	swe	Swedish		svenska
nl	nld	Dutch		Nederlands
ru	rus	Russian		русский
es	spa	Spanish		español
it	ita	Italian		italiano
pl	pol	Polish		polski
arz	arz	Egyptian Arabic		مصرى
zh	zho	Chinese		中文
ja	jpn	Japanese		日本語
uk	ukr	Ukrainian		українська
vi	vie	Vietnamese		Tiếng Việt
war	war	Waray (Philippines)	Waray	Winaray
ar	ara	Arabic		العربية
pt	por	Portuguese		português
fa	fas	Persian		فارسی
ca	cat	Catalan		català
id	ind	Indonesian		Bahasa Indonesia
sr	srp	Serbian		српски / srpski
ko	kor	Korean		한국어
no	nor	Norwegian		norsk
tr	tur	Turkish		Türkçe
ce	che	Chechen		нохчийн
fi	fin	Finnish		suomi
cs	ces	Czech		čeština
hu	hun	Hungarian		magyar
tt	tat	Tatar		татарча / tatarça
ro	ron	Romanian		română
sh	hbs	Serbo-Croatian		srpskohrvatski / српскохрватски
eu	eus	Basque		euskara
he	heb	Hebrew		עברית
eo	epo	Esperanto		
hy	hye	Armenian		հայերեն
da	dan	Danish		dansk
bg	bul	Bulgarian		български
uz	uzb	Uzbek		oʻzbekcha / ўзбекча
cy	cym	Welsh		Cymraeg
sk	slk	Slovak		slovenčina
et	est	Estonian		eesti
be	bel	Belarusian		беларуская
azb	azb	South Azerbaijani		تۆرکجه
kk	kaz	Kazakh		қазақша
min	min	Minangkabau		
hr	hrv	Croatian		hrvatski
lt	lit	Lithuanian		lietuvių
gl	glg	Galician		galego
ur	urd	Urdu		اردو
az	aze	Azerbaijani		azərbaycanca
sl	slv	Slovenian		slovenščina
lld	lld	Ladin		
ka	kat	Georgian		ქართული
nn	nno	Norwegian Nynorsk		norsk nynorsk
ta	tam	Tamil		தமிழ்
th	tha	Thai		ไทย
hi	hin	Hindi		हिन्दी
mk	mkd	Macedonian		македонски
la	lat	Latin		Latina
ast	ast	Asturian		asturianu
lv	lav	Latvian		latviešu
af	afr	Afrikaans		
tg	tgk	Tajik		тоҷикӣ
my	mya	Burmese		မြန်မာဘာသာ
te	tel	Telugu		తెలుగు
sq	sqi	Albanian		shqip
mr	mar	Marathi		मराठी
mg	mlg	Malagasy		
bs	bos	Bosnian		bosanski
br	bre	Breton		brezhoneg
ml	mal	Malayalam		മലയാളം
nds	nds	Low German		Plattdüütsch
ku	kur	Kurdish		kurdî
ky	kir	Kyrgyz		кыргызча
lmo	lmo	Lombard		lombard
jv	jav	Javanese		Jawa
pnb	pnb	Western Panjabi	Western Punjabi	پنجابی
ckb	ckb	Central Kurdish		کوردی
new	new	Newari		नेपाल भाषा
ht	hat	Haitian Creole		Kreyòl ayisyen
vec	vec	Venetian		vèneto
pms	pms	Piemontese	Piedmontese	Piemontèis
lb	ltz	Luxembourgish		Lëtzebuergesch
ba	bak	Bashkir		башҡортса
su	sun	Sundanese		Sunda
ga	gle	Irish		Gaeilge
is	isl	Icelandic		íslenska
szl	szl	Silesian		ślůnski
cv	chv	Chuvash		чӑвашла
pa	pan	Punjabi		ਪੰਜਾਬੀ
fy	fry	Western Frisian		Frysk
io	ido	Ido		
ha	hau	Hausa		
tl	tgl	Tagalog		
an	arg	Aragonese		aragonés
mzn	mzn	Mazanderani		مازِرونی
wuu	wuu	Wu Chinese	Wu	吴语
diq	diq	Dimli (individual language)	Zazaki	Zazaki
vo	vol	Volapük		
ig	ibo	Igbo		
sco	sco	Scots		
yo	yor	Yoruba		Yorùbá
kn	kan	Kannada		ಕನ್ನಡ
als	als	Tosk Albanian	Alemannic	Alemannisch
gu	guj	Gujarati		ગુજરાતી
avk	avk	Kotava		
crh	crh	Crimean Tatar		qırımtatarca
bar	bar	Bavarian		Boarisch
scn	scn	Sicilian		sicilianu
ban	ban	Balinese		Basa Bali
bpy	bpy	Bishnupriya		বিষ্ণুপ্রিয়া মণিপুরী
mn	mon	Mongolian		монгол
qu	que	Quechua		Runa Simi
nv	nav	Navajo		Diné bizaad
xmf	xmf	Mingrelian		მარგალური
si	sin	Sinhala		සිංහල
frr	frr	Northern Frisian		Nordfriisk
ps	pus	Pashto		پښتو
os	oss	Ossetic		ирон
tum	tum	Tumbuka		chiTumbuka
or	ory	Odia		ଓଡ଼ିଆ
sd	snd	Sindhi		سنڌي
bcl	bcl	Central Bikol		Bikol Central
bat-smg	sgs	Samogitian		žemaitėška
sah	sah	Yakut		саха тыла
cdo	cdo	Min Dong Chinese	Mindong	閩東語 / Mìng-dĕ̤ng-ngṳ̄
gd	gla	Scottish Gaelic		Gàidhlig
bug	bug	Buginese		Basa Ugi
glk	glk	Gilaki		گیلکی
yi	yid	Yiddish		ייִדיש
ilo	ilo	Iloko		Ilokano
am	amh	Amharic		አማርኛ
li	lim	Limburgish		Limburgs
nap	nap	Neapolitan		Napulitano
gor	gor	Gorontalo		Bahasa Hulontalo
fo	fao	Faroese		føroyskt
mai	mai	Maithili		मैथिली
hsb	hsb	Upper Sorbian		hornjoserbsce
as	asm	Assamese		অসমীয়া
shn	shn	Shan		ၽႃႇသႃႇတႆး
zh-classical	lzh	Literary Chinese		文言
ace	ace	Achinese	Acehnese	Acèh
ie	ile	Interlingue		
wa	wln	Walloon		walon
sa	san	Sanskrit		संस्कृतम्
hyw	hyw	Western Armenian		Արեւմտահայերէն
sat	sat	Santali		ᱥᱟᱱᱛᱟᱲᱤ
zu	zul	Zulu		isiZulu
sn	sna	Shona		chiShona
mhr	mhr	Eastern Mari		олык марий
lij	lij	Ligurian		Ligure
hif	hif	Fiji Hindi		
km	khm	Khmer		ភាសាខ្មែរ
bjn	bjn	Banjar		
mni	mni	Manipuri		ꯃꯤꯇꯩ ꯂꯣꯟ
mrj	mrj	Western Mari		кырык мары
ary	ary	Moroccan Arabic		الدارجة
hak	hak	Hakka Chinese		客家語 / Hak-kâ-ngî
dag	dag	Dagbani		dagbanli
pam	pam	Pampanga		Kapampangan
rue	rue	Rusyn		русиньскый
bh	bho	Bhojpuri		भोजपुरी
nso	nso	Northern Sotho		Sesotho sa Leboa
co	cos	Corsican		corsu
tly	tly	Talysh		tolışi
so	som	Somali		Soomaaliga
vls	vls	Vlaams	West Flemish	West-Vlams
nds-nl	nds	Low Saxon		Nedersaksies
se	sme	Northern Sami		davvisámegiella
myv	myv	Erzya		эрзянь
rw	kin	Kinyarwanda		Ikinyarwanda
kaa	kaa	Kara-Kalpak		Qaraqalpaqsha
sc	srd	Sardinian		sardu
bo	bod	Tibetan		བོད་ཡིག
kw	cor	Cornish		kernowek
vep	vep	Veps		vepsän kel’
mt	mlt	Maltese		Malti
tk	tuk	Turkmen		Türkmençe
kab	kab	Kabyle		Taqbaylit
gv	glv	Manx		Gaelg
mdf	mdf	Moksha		мокшень
gan	gan	Gan Chinese	Gan	贛語
fiu-vro	vro	Võro		võro
ug	uig	Uyghur		ئۇيغۇرچە / Uyghurche
zea	zea	Zeeuws	Zeelandic	Zeêuws
ab	abk	Abkhazian		аԥсшәа
skr	skr	Saraiki		سرائیکی
smn	smn	Inari Sami		anarâškielâ
gn	grn	Guarani		Avañe'ẽ
frp	frp	Arpitan		arpetan
ks	kas	Kashmiri		कॉशुर / کٲشُر
pcd	pcd	Picard		
udm	udm	Udmurt		удмурт
kv	kom	Komi		коми
csb	csb	Kashubian		kaszëbsczi
ay	aym	Aymara		Aymar aru
nrm	nrm	Narom	Norman	Nouormand
ang	ang	Old English (ca. 450-1100)	Old English	Ænglisc
fur	fur	Friulian		furlan
olo	olo	Livvi	Livvi-Karelian	livvinkarjala
lfn	lfn	Lingua Franca Nova		
lo	lao	Lao		ລາວ
lez	lez	Lezghian		лезги
mwl	mwl	Mirandese		Mirandés
pap	pap	Papiamento		Papiamentu
ln	lin	Lingala		lingála
tw	twi	Twi		
stq	stq	Saterfriesisch	Saterland Frisian	Seeltersk
rm	roh	Romansh		rumantsch
ext	ext	Extremaduran		estremeñu
lad	lad	Ladino		
gom	gom	Goan Konkani		गोंयची कोंकणी / Gõychi Konknni
dty	dty	Dotyali	Doteli	डोटेली
av	ava	Avaric		авар
tyv	tyv	Tuvinian		тыва дыл
koi	koi	Komi-Permyak		перем коми
dsb	dsb	Lower Sorbian		dolnoserbski
lg	lug	Ganda		Luganda
cbk-zam	cbk	Chavacano		Chavacano de Zamboanga
dv	div	Divehi		ދިވެހިބަސް
ksh	ksh	Kölsch	Colognian	Ripoarisch
za	zha	Zhuang		Vahcuengh
bxr	bxr	Russia Buriat		буряад
blk	blk	Pa'O		ပအိုဝ်ႏဘာႏသာႏ
gag	gag	Gagauz		
zgh	zgh	Standard Moroccan Tamazight		ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ
pfl	pfl	Pfaelzisch	Palatine German	Pälzisch
szy	szy	Sakizaya		
bew	bew	Betawi		
haw	haw	Hawaiian		Hawaiʻi
tay	tay	Atayal	Tayal	Tayal
pag	pag	Pangasinan		
pi	pli	Pali		पालि
awa	awa	Awadhi		अवधी
tcy	tcy	Tulu		ತುಳು
krc	krc	Karachay-Balkar		къарачай-малкъар
inh	inh	Ingush		гӀалгӀай
xh	xho	Xhosa		isiXhosa
fon	fon	Fon		fɔ̀ngbè
atj	atj	Atikamekw		
gpe	gpe	Ghanaian Pidgin English	Ghanaian Pidgin	Ghanaian Pidgin
kge	kge	Komering		Kumoring
pdc	pdc	Pennsylvania German		Deitsch
mnw	mnw	Mon		ဘာသာမန်
shi	shi	Tachelhit		Taclḥit
tn	tsn	Tswana		Setswana
om	orm	Oromo		Oromoo
ki	kik	Kikuyu		Gĩkũyũ
dga	dga	Southern Dagaare	Dagaare	Dagaare
xal	xal	Kalmyk		хальмг
nia	nia	Nias		Li Niha
jam	jam	Jamaican Creole English		Patois
kbp	kbp	Kabiyè	Kabiye	Kabɩyɛ
wo	wol	Wolof		
nov	nov	Novial		
kbd	kbd	Kabardian		адыгэбзэ
anp	anp	Angika		अंगिका
nqo	nqo	N'Ko	N’Ko	ߒߞߏ
bi	bis	Bislama		
roa-rup	rup	Aromanian		armãneashti
tpi	tpi	Tok Pisin		
kg	kon	Kongo		
tet	tet	Tetum		tetun
guw	guw	Gun		gungbe
jbo	jbo	Lojban		la .lojban.
mad	mad	Maduresez		Madhurâ
fj	fij	Fijian		Na Vosa Vakaviti
lbe	lbe	Lak		лакку
kcg	kcg	Tyap		
cu	chu	Church Slavic		словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ
pcm	pcm	Nigerian Pidgin		Naijá
ty	tah	Tahitian		reo tahiti
trv	trv	Taroko		Seediq
sm	smo	Samoan		Gagana Samoa
ami	ami	Amis		Pangcah
dtp	dtp	Central Dusun		Kadazandusun
srn	srn	Sranan Tongo		Sranantongo
btm	btm	Batak Mandailing		
alt	alt	Southern Altai		алтай тил
ltg	ltg	Latgalian		latgaļu
gcr	gcr	Guianese Creole French	Guianan Creole	kriyòl gwiyannen
ny	nya	Nyanja		Chi-Chewa
st	sot	Southern Sotho		Sesotho
kus	kus	Kusaal		Kʋsaal
chr	chr	Cherokee		ᏣᎳᎩ
ss	ssw	Swati		SiSwati
iba	iba	Iban		Jaku Iban
ee	ewe	Ewe		eʋegbe
mos	mos	Mossi		moore
ts	tso	Tsonga		Xitsonga
gur	gur	Farefare	Frafra	farefare
got	got	Gothic		𐌲𐌿𐍄𐌹𐍃𐌺
bm	bam	Bambara		bamanankan
bbc	bbc	Batak Toba		
pih	pih	Pitcairn-Norfolk	Norfuk / Pitkern	Norfuk / Pitkern
ve	ven	Venda		Tshivenda
rmy	rmy	Vlax Romani		romani čhib
fat	fat	Fanti		mfantse
chy	chy	Cheyenne		Tsetsêhestâhese
rn	run	Rundi		ikirundi
igl	igl	Igala		
ik	ipk	Inupiaq		Iñupiatun
guc	guc	Wayuu		wayuunaiki
ady	ady	Adyghe		адыгабзэ
ch	cha	Chamorro		Chamoru
pnt	pnt	Pontic		Ποντιακά
iu	iku	Inuktitut		ᐃᓄᒃᑎᑐᑦ / inuktitut
ann	ann	Obolo		
pwn	pwn	Paiwan		pinayuanan
din	din	Dinka		Thuɔŋjäŋ
dz	dzo	Dzongkha		ཇོང་ཁ
ti	tir	Tigrinya		ትግርኛ
sg	sag	Sango		Sängö
tdd	tdd	Tai Nüa	Tai Nuea	ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ
kl	kal	Kalaallisut		kalaallisut
bdr	bdr	West Coast Bajau		Bajau Sama
